Platform,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Interests
Instagram,Carousel,Want that according same wish.,19:49.3,415,77,85,2619,1842,31.32,29,respond
Instagram,Image,Increase fast partner south.,40:06.4,908,125,85,1223,3884,28.78,48,population
Instagram,Carousel,Lawyer behavior born window couple sister.,56:53.2,412,419,58,2165,849,104.71,55,himself
Instagram,Carousel,Street great decade must.,39:00.2,667,153,29,7191,3519,24.13,54,safe
Facebook,Link,At clear meeting with reason ground continue contain.,51:21.4,659,215,34,3312,2032,44.69,33,well
Instagram,Carousel,Vote American state change simply cup.,32:30.1,510,438,110,3871,2667,39.67,59,she
Instagram,Reels,Community seek Republican cold though ability understand event.,32:05.1,874,239,91,5681,1553,77.53,41,family
LinkedIn,Link,Win guess me report true.,32:01.6,627,135,90,9436,1498,56.88,63,keep
Instagram,Carousel,Action other would side.,22:21.1,1000,378,94,8539,3695,39.84,23,number
Instagram,Carousel,Usually personal small create.,55:37.1,573,135,8,6769,2508,28.55,46,main
Facebook,Link,Floor glass bring indicate seem detail.,15:59.8,604,29,2,1386,1831,34.68,33,attorney
Instagram,Carousel,Customer stop language everybody rest chance me.,19:50.4,288,230,56,2516,3927,14.62,23,affect
Instagram,Image,Town find identify game your.,41:21.9,870,92,15,1377,4829,20.23,48,money
Instagram,Video,Reduce theory upon else someone significant which century.,27:10.5,322,195,146,7970,3477,19.07,47,however
Instagram,Carousel,Head story away lot government last skin him.,46:36.2,387,30,55,4249,2901,16.27,63,message
Twitter,Image,Machine language mention between view meeting eye.,47:41.2,416,271,44,3250,2101,34.79,24,rest
Facebook,Link,Ground board after read.,06:20.1,632,267,58,4463,3020,31.69,33,page
Facebook,Link,Friend education author care evidence.,18:46.6,759,95,21,3135,2284,38.31,57,natural
Instagram,Link,Half see campaign many door increase animal.,18:39.3,210,49,86,9224,3443,10.02,65,north
Instagram,Carousel,Market challenge something side issue animal that stuff.,23:04.3,843,302,140,5753,678,189.53,56,speech
Facebook,Link,Game painting interesting travel experience dinner mission.,52:13.0,872,169,21,6165,1726,61.53,35,focus
Instagram,Carousel,Themselves evidence rate husband fact.,33:24.5,807,325,194,3399,668,198.5,49,evidence
Twitter,Video,Market skill physical.,40:47.7,252,70,117,9801,2192,20.03,32,others
Instagram,Reels,Subject structure role who themselves.,22:21.5,915,489,89,8910,3579,41.72,57,green
Instagram,Carousel,Sense despite hair way air if rise.,26:21.9,266,207,37,9118,707,72.14,23,popular
Instagram,Carousel,Authority almost leader case worker few interesting agree.,29:07.8,838,308,102,3459,2125,58.73,44,travel
Instagram,Reels,Occur unit oil.,27:00.3,655,296,128,2934,1144,94.32,53,chair
LinkedIn,Link,Seem strategy you cup.,53:33.1,573,192,19,1949,2797,28.03,40,part
